icao_code,fecha_mes,operaciones_llegada,operaciones_salida,TOQUE Y DESPEGUE,operaciones_otras,operaciones_total,pasajeros_salida,carga_salida_kg,n_destinos_total,n_empresas_salida,n_registros_salida,pasajeros_llegada,carga_llegada_kg,n_origenes_total,n_empresas_llegada,n_registros_llegada,pasajeros_total,carga_total_kg,pasajeros_salida_internacional,pasajeros_salida_nacional,pasajeros_llegada_internacional,pasajeros_llegada_nacional,pasajeros_internacional_total,proporcion_pasajeros_internacional,n_metar_mes,temp_media_c,temp_min_c,temp_max_c,temp_std_c,dewpoint_media_c,humedad_media_pct,viento_medio_kt,viento_max_kt,viento_std_kt,rafaga_max_kt,visibilidad_media_sm,visibilidad_min_sm,visibilidad_std_sm,cloud_base_min_ft,altimeter_media_inhg,prop_lluvia,prop_tormenta,prop_niebla,prop_baja_visibilidad,prop_viento_fuerte,prop_rafaga,prop_ifr_aprox,n_metar_esperados_mes,cobertura_metar_ratio,name,type,municipality,region_name,iata_code,latitude_deg,longitude_deg,elevation_ft,scheduled_service,tiene_metar_mes,tiene_od_mes,sin_od_sin_metar_mes,target_operaciones_total_mes_siguiente,target_q33_operaciones,target_q66_operaciones,target_nivel_operacion_mes_siguiente
SKAR,2020-01-01,408.0,409.0,0.0,0.0,817.0,25548.0,119.0,73,5,85,22854.0,0.0,71,5,85,48402.0,119.0,4448.0,21100.0,3880.0,18974.0,8328.0,0.17205900582620554,573,23.653846153846153,15.0,33.00000000000001,4.334010316828683,18.793706293706293,76.9764335664337,1.2,12.0,1.983765392331008,,5.809544658493886,0.62,1.0573798149208828,600.0,30.03521815008726,0.1082024432809773,0.012216404886561954,0.0506108202443281,0.047285464098073555,0.0,0.0,0.04903677758318739,744.0,0.7701612903225806,El Eden Airport,medium_airport,Armenia,Quindio Department,AXM,4.45278,-75.7664,3990,1,1,1,0,744.0,220.0,564.0,alto
SKAR,2020-02-01,372.0,372.0,0.0,0.0,744.0,22490.0,182.0,66,6,76,22022.0,130.0,71,6,82,44512.0,312.0,3206.0,19284.0,2930.0,19092.0,6136.0,0.1378504672897196,508,23.823762376237624,16.0,34.0,4.35555539518966,18.883168316831682,76.7702772277228,1.2693069306930693,13.0,2.053536562987683,,5.627658730158736,0.19,1.3089271685649784,300.0,30.02348425196852,0.13385826771653545,0.025590551181102362,0.09645669291338582,0.06349206349206349,0.0,0.0,0.06746031746031746,696.0,0.7298850574712644,El Eden Airport,medium_airport,Armenia,Quindio Department,AXM,4.45278,-75.7664,3990,1,1,1,0,531.0,220.0,564.0,medio
SKAR,2020-03-01,265.0,266.0,0.0,0.0,531.0,13541.0,4170.0,69,7,82,13241.0,3660.0,67,7,87,26782.0,7830.0,1975.0,11566.0,1580.0,11661.0,3555.0,0.13273840639235307,525,23.274193548387096,15.0,30.0,3.2432399554963545,17.99794661190965,74.21174537987689,1.5487077534791251,14.0,2.3236857057363314,,5.668011583011595,0.12,1.1737884011598065,800.0,30.029105367793274,0.1180952380952381,0.017142857142857144,0.1180952380952381,0.059845559845559844,0.0,0.0,0.06640625,744.0,0.7056451612903226,El Eden Airport,medium_airport,Armenia,Quindio Department,AXM,4.45278,-75.7664,3990,1,1,1,0,21.0,220.0,564.0,bajo
SKAR,2020-04-01,11.0,10.0,0.0,0.0,21.0,0.0,17216.0,3,1,3,0.0,16709.0,2,1,2,0.0,33925.0,0.0,0.0,0.0,0.0,0.0,0.0,277,24.25221238938053,18.000000000000004,31.0,3.1542732170856076,19.51769911504425,76.47553097345138,1.736842105263158,9.0,2.3636477132610865,,5.641805054151642,0.19,1.2982877484596589,200.0,30.067268722466956,0.17328519855595667,0.036101083032490974,0.05776173285198556,0.05415162454873646,0.0,0.0,0.08303249097472924,720.0,0.38472222222222224,El Eden Airport,medium_airport,Armenia,Quindio Department,AXM,4.45278,-75.7664,3990,1,1,1,0,31.0,220.0,564.0,bajo
SKAR,2020-05-01,18.0,13.0,0.0,0.0,31.0,0.0,7891.0,2,2,2,0.0,6061.0,2,2,2,0.0,13952.0,0.0,0.0,0.0,0.0,0.0,0.0,208,25.4126213592233,20.0,32.0,2.790163195214897,20.28640776699029,74.46888349514565,1.3349514563106797,8.0,1.9654185298892481,,5.911730769230784,1.24,0.8861134182296055,800.0,30.071835748792292,0.125,0.004807692307692308,0.0625,0.028846153846153848,0.0,0.0,0.04326923076923077,744.0,0.27956989247311825,El Eden Airport,medium_airport,Armenia,Quindio Department,AXM,4.45278,-75.7664,3990,1,1,1,0,12.0,220.0,564.0,bajo
SKAR,2020-06-01,5.0,7.0,0.0,0.0,12.0,0.0,4275.0,2,2,2,1.0,10599.0,2,2,2,1.0,14874.0,0.0,0.0,0.0,1.0,0.0,0.0,190,24.83157894736842,17.0,32.0,2.840197591974757,20.194736842105264,76.51421052631582,1.3368421052631578,10.0,1.9632093706832194,,5.660526315789488,0.5,1.312765462936726,600.0,30.078526315789507,0.1631578947368421,0.010526315789473684,0.05263157894736842,0.07368421052631578,0.0,0.0,0.08421052631578947,720.0,0.2638888888888889,El Eden Airport,medium_airport,Armenia,Quindio Department,AXM,4.45278,-75.7664,3990,1,1,1,0,6.0,220.0,564.0,bajo
SKAR,2020-07-01,3.0,3.0,0.0,0.0,6.0,3.0,5810.0,4,3,4,13.0,13250.0,4,3,4,16.0,19060.0,0.0,3.0,0.0,13.0,0.0,0.0,194,24.642487046632123,18.000000000000004,30.0,2.669593061819863,19.797927461139896,75.54031088082908,1.6321243523316062,7.0,2.1199459862119028,,5.824948453608262,0.99,0.9908782138259487,500.0,30.068298969072163,0.17010309278350516,0.005154639175257732,0.05670103092783505,0.041237113402061855,0.0,0.0,0.05154639175257732,744.0,0.260752688172043,El Eden Airport,medium_airport,Armenia,Quindio Department,AXM,4.45278,-75.7664,3990,1,1,1,0,24.0,220.0,564.0,bajo
SKAR,2020-08-01,13.0,9.0,2.0,2.0,24.0,6.0,4439.0,2,2,2,0.0,5590.0,1,2,2,6.0,10029.0,0.0,6.0,0.0,0.0,0.0,0.0,199,24.384615384615383,18.000000000000004,31.0,2.8969890574061816,18.353846153846153,70.51969230769235,2.4690721649484537,8.0,2.159824442335127,,5.724020618556714,1.24,1.1092756912319706,500.0,30.073333333333345,0.16080402010050251,0.005025125628140704,0.06532663316582915,0.05670103092783505,0.0,0.0,0.06735751295336788,744.0,0.2674731182795699,El Eden Airport,medium_airport,Armenia,Quindio Department,AXM,4.45278,-75.7664,3990,1,1,1,0,57.0,220.0,564.0,bajo
SKAR,2020-09-01,29.0,27.0,1.0,1.0,57.0,336.0,4180.0,2,3,4,358.0,1900.0,3,3,4,694.0,6080.0,0.0,336.0,0.0,358.0,0.0,0.0,190,24.11111111111111,18.000000000000004,29.000000000000004,2.5439400947494337,18.174603174603174,70.47365079365079,2.455026455026455,10.0,2.2323393474251105,,5.911375661375676,1.86,0.7904854498507593,100.0,30.08423280423281,0.18421052631578946,0.0,0.06842105263157895,0.021164021164021163,0.0,0.0,0.037037037037037035,720.0,0.2638888888888889,El Eden Airport,medium_airport,Armenia,Quindio Department,AXM,4.45278,-75.7664,3990,1,1,1,0,221.0,220.0,564.0,medio
SKAR,2020-10-01,105.0,106.0,10.0,10.0,221.0,4960.0,5630.0,25,5,28,5407.0,9030.0,20,5,24,10367.0,14660.0,1306.0,3654.0,1444.0,3963.0,2750.0,0.2652647824828784,2,21.0,20.0,21.999999999999996,1.4142135623730925,18.0,83.62,3.0,6.0,4.242640687119285,,4.97,3.73,1.7536248173426379,2000.0,30.055,0.5,0.0,0.0,0.0,0.0,0.0,0.0,744.0,0.002688172043010753,El Eden Airport,medium_airport,Armenia,Quindio Department,AXM,4.45278,-75.7664,3990,1,1,1,0,223.0,220.0,564.0,medio
